Country,12.2.2 Consumption,9.c.1 3G Coverage,9.b.1 Proportion of Tech Value,9.5.1 research spending per GDP,9.4.1 CO2 Emission,9.2.2 percentage of manufacturing employment,9.2.1. Manufacutring add value,9.1.2 Transportation Volume,8.10.1 number of ATM,8.6.1 not in education or employment,8.4.1 material footprint,8.2.1 Annual growth per employee,8.1.1 Annual Growth Rate,4.b.1 Scholars,4.2.2 Organized Learning,4.1.1 Reading Proficiency,2.2.2 Malnutritiohn,2.1.2 Food insecurities,2.1.1 Undernourishment,Poverty Rate (Goal)
SYC,1418759.07,90,?,?,?,7.3,994.5,1609999501,119.01,?,4328045.28,?,4.43,0.88,97.42,?,?,9.3,?,1.1
AUS,4870936459,99,28.17,?,381.62,8.23,4070.5,5.19E+11,192.74,9.8,2020539986,0.6,1.36,?,87.03,82.17,?,8.4,?,1
PRT,568087237.5,99.1,25.74,1.27,47.39,16.91,2678.15,1.24E+11,223.47,11.3,346062394.7,0.5,2.34,?,95.92,82.95,?,12.3,?,1
SWE,975961961.5,99.99,48.92,3.25,37.24,10.41,8223.79,1.64E+11,59.86,6.8,464729998.5,3,3.73,?,98.14,81.57,?,2.4,?,0.9
HUN,1070902983,99,58.78,1.36,42.88,21.41,2779.41,1.14E+11,72.37,11.6,280531445.6,0.2,3.68,?,93.76,72.52,?,3.6,?,0.7
ISR,646350431.2,99,42.81,4.26,62.6,11.49,4136.82,90407699935,153.29,15.5,347010634.3,0.4,1.06,?,99.47,73.41,?,3.3,?,0.7
AUT,829128805.8,98,45.93,3.03,62.44,15.98,8478.79,1.07E+11,131.75,7.5,533641262.8,0.6,0.43,?,?,77.46,?,?,?,0.7
SVK,342532208.4,93,48.19,1.18,29.93,24.68,4292.35,69771000000,87.79,13.7,469571856,1.2,3.73,?,?,67.9,?,3.3,3.1,0.7
IRL,387701437,95,61.02,?,35.49,11.36,19109.16,74812992059,119.85,14.3,201201203.4,23.6,25.19,?,91.41,89.81,?,11.7,?,0.7
URY,678484303,90,15.29,0.36,6.59,11.07,1745.83,73463880735,66.67,18.7,227236087,1.4,0.02,1.36,96.88,60.99,?,?,?,0.6
WSM,5950070.16,86,?,?,?,?,351.87,300462778.4,62.5,?,3139448.36,1,2.16,5.95,30.46,?,?,?,3.2,0.6
MYS,2957386960,92,42.56,1.3,221.08,16.51,2490.64,3.97E+11,60.95,?,1355303508,2.4,3.28,3.59,98.6,62.82,8,?,?,0.5
DNK,573725154.6,99.99,53.38,2.96,32.17,11.94,7363.4,66544000000,76.51,6.2,274717079.1,0.6,1.16,?,96.08,85,?,2.4,?,0.5
GBR,3317266647,99.6,47.37,1.69,390.07,9.59,3425.85,7.27E+11,131.31,11.1,2897448045,0.7,1.75,?,97.65,82.12,?,12.6,?,0.5
MUS,89268469.62,92.8,8.86,?,4.33,21.75,1296.09,7055941702,67.31,?,51378130.09,2,3.28,1.97,95.04,?,?,15,5.2,0.5
MLT,40855491.68,100,19.18,0.73,1.77,12.42,2036.69,9308191586,95.5,10.4,21994650.13,5.4,6.55,?,97.16,64.45,?,?,?,0.5
DZA,2090186078,46,9.14,?,131.48,?,207.81,2.68E+11,13.47,21.2,235303972.1,3.1,1.73,14.61,?,21.03,?,?,4.6,0.5
CAN,6011423619,99.3,30.57,?,549.88,9.54,5065.38,4.57E+11,244.18,10.3,2469772270,0.1,-0.03,?,?,89.32,?,1.8,?,0.4
KOR,3613254822,99,63.65,4.22,586.54,17.3,7146.97,5.03E+11,293.05,?,2558211653,1.8,2.37,?,90.81,86.34,?,?,?,0.3
BIH,227340607.6,96,17.55,0.22,23.78,?,620.4,11401925127,80.32,27.7,55692600.79,2.4,3.95,2,?,?,?,4.2,?,0.3
JPN,7284842975,99.9,55.34,3.29,1142,16.66,8859.27,1.31E+12,161.79,3.6,6025823648,0.7,1.26,?,91.11,87.12,?,1.2,?,0.3
BEL,1130768529,100,49.47,2.45,92.91,12.95,6248.78,1.37E+11,101.1,12.2,512913026.5,1.1,0.79,?,99.18,80.47,?,?,?,0.2
NOR,710955911.8,99,46.06,1.93,36.98,8.61,6358.13,86624839536,53.54,5,386785095.2,0.9,0.8,?,99.73,85.09,?,3.6,?,0.2
ISL,20932090,99,16.57,2.19,2.38,10.24,6627.06,8232384295,103.18,4.6,20683481.99,1.5,3.53,?,99.78,77.91,?,?,?,0.2
LUX,98281457.91,99,21.26,1.29,9.29,4.6,5591.85,11369833395,185.17,6.2,116451668.4,2.1,0.97,?,99.04,74.36,?,6,?,0.2
NLD,1498285337,99,48.19,1.99,156.42,9.45,5455.55,1.93E+11,63.66,4.7,876826492.8,0.8,1.96,?,99.54,81.94,?,4.2,?,0.2
LBN,354140845,97,19.95,?,23.32,?,602.72,43615025125,62.93,?,172829057.6,-3.5,-3.46,2.53,93.56,29.63,?,?,5.4,0.1
POL,3997107330,100,35.45,1,282.98,19.32,2542.89,5.79E+11,99.62,11,1280428436,2.5,3.92,?,99.5,85.59,?,?,?,0.1
SVN,174156134.1,99.5,48.65,2.2,13.22,23.4,4344.61,38545457984,126.59,9.5,91120975.78,2.1,2.06,?,93.99,84.86,?,?,?,0
FIN,804184365.6,99.9,44.53,2.9,42.45,13.47,6598.58,65262000000,39.83,10.6,387505032.3,0.8,-0.41,?,97.56,88.91,?,?,?,0
FRA,4774640709,99,49.38,2.22,290.74,12.21,4425.9,9.90E+11,144.51,11.9,2763047564,1,0.64,?,99.76,78.51,?,4.2,?,0
DEU,7401347542,95.7,61.4,2.86,730.1,19.3,9505.98,1.34E+12,135.07,6.2,3538513944,1.2,1.47,?,?,84.02,?,3,?,0
CYP,73783249.63,90.01,22.71,0.45,6.66,7.79,814.89,6176338099,87.37,15.3,46318821.87,0.3,2.64,?,94.59,?,?,?,4.7,0
CHE,677978824.8,100,63.04,?,37.44,12.59,13792,99833778029,143.05,7.4,507267661.8,-0.6,0.13,?,99.5,80.02,?,4.5,?,0
CZE,1094697566,99,50.51,1.93,100.09,27.31,4952.59,1.33E+11,74.4,7.5,?,3.3,5.26,?,?,77.05,?,2.7,?,0
